100,101
100,101
100,99
100,99
101,100
99,100
101,100
99,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,102
100,102
100,98
100,98
102,100
98,100
102,100
98,100
101,102
99,102
101,98
99,98
102,101
98,101
102,99
98,99
101,101
99,101
101,99
99,99
101,101
99,101
101,99
99,99
100,103
100,103
100,97
100,97
103,100
97,100
103,100
97,100
101,103
99,103
101,97
99,97
103,101
97,101
103,99
97,99
101,102
99,102
101,98
99,98
102,101
98,101
102,99
98,99
102,102
98,102
102,98
98,98
102,102
98,102
102,98
98,98
102,101
98,101
102,99
98,99
101,102
99,102
101,98
99,98
100,104
100,104
100,96
100,96
104,100
96,100
104,100
96,100
101,104
99,104
101,96
99,96
104,101
96,101
104,99
96,99
101,103
99,103
101,97
99,97
103,101
97,101
103,99
97,99
102,103
98,103
102,97
98,97
103,102
97,102
103,98
97,98
103,103
97,103
103,97
97,97
103,103
97,103
103,97
97,97
103,102
97,102
103,98
97,98
102,103
98,103
102,97
98,97
100,105
100,105
100,95
100,95
105,100
95,100
105,100
95,100
101,105
99,105
101,95
99,95
105,101
95,101
105,99
95,99
102,105
98,105
102,95
98,95
105,102
95,102
105,98
95,98
102,104
98,104
102,96
98,96
104,102
96,102
104,98
96,98
103,104
97,104
103,96
97,96
104,103
96,103
104,97
96,97
103,103
97,103
103,97
97,97
103,103
97,103
103,97
97,97
100,106
100,106
100,94
100,94
106,100
94,100
106,100
94,100
101,106
99,106
101,94
99,94
106,101
94,101
106,99
94,99
102,106
98,106
102,94
98,94
106,102
94,102
106,98
94,98
102,105
98,105
102,95
98,95
105,102
95,102
105,98
95,98
103,105
97,105
103,95
97,95
105,103
95,103
105,97
95,97
103,104
97,104
103,96
97,96
104,103
96,103
104,97
96,97
104,104
96,104
104,96
96,96
104,104
96,104
104,96
96,96
104,103
96,103
104,97
96,97
103,104
97,104
103,96
97,96
100,107
100,107
100,93
100,93
107,100
93,100
107,100
93,100
101,107
99,107
101,93
99,93
107,101
93,101
107,99
93,99
102,107
98,107
102,93
98,93
107,102
93,102
107,98
93,98
102,106
98,106
102,94
98,94
106,102
94,102
106,98
94,98
103,106
97,106
103,94
97,94
106,103
94,103
106,97
94,97
104,106
96,106
104,94
96,94
106,104
94,104
106,96
94,96
104,105
96,105
104,95
96,95
105,104
95,104
105,96
95,96
105,105
95,105
105,95
95,95
105,105
95,105
105,95
95,95
105,104
95,104
105,96
95,96
104,105
96,105
104,95
96,95
100,108
100,108
100,92
100,92
108,100
92,100
108,100
92,100
101,108
99,108
101,92
99,92
108,101
92,101
108,99
92,99
102,108
98,108
102,92
98,92
108,102
92,102
108,98
92,98
102,107
98,107
102,93
98,93
107,102
93,102
107,98
93,98
103,107
97,107
103,93
97,93
107,103
93,103
107,97
93,97
104,107
96,107
104,93
96,93
107,104
93,104
107,96
93,96
104,106
96,106
104,94
96,94
106,104
94,104
106,96
94,96
105,106
95,106
105,94
95,94
106,105
94,105
106,95
94,95
105,105
95,105
105,95
95,95
105,105
95,105
105,95
95,95
100,109
100,109
100,91
100,91
109,100
91,100
109,100
91,100
101,109
99,109
101,91
99,91
109,101
91,101
109,99
91,99
102,109
98,109
102,91
98,91
109,102
91,102
109,98
91,98
102,108
98,108
102,92
98,92
108,102
92,102
108,98
92,98
103,108
97,108
103,92
97,92
108,103
92,103
108,97
92,97
104,108
96,108
104,92
96,92
108,104
92,104
108,96
92,96
104,107
96,107
104,93
96,93
107,104
93,104
107,96
93,96
105,107
95,107
105,93
95,93
107,105
93,105
107,95
93,95
106,107
94,107
106,93
94,93
107,106
93,106
107,94
93,94
106,106
94,106
106,94
94,94
106,106
94,106
106,94
94,94
100,110
100,110
100,90
100,90
110,100
90,100
110,100
90,100
101,110
99,110
