8,8,17
8,22,17
22,17,8
8,13,8
8,13,22
8,17,22
17,22,8
17,8,8
13,8,8
13,22,8
17,22,22
22,8,14
22,8,16
8,22,14
22,22,17
8,22,16
22,16,8
22,14,8
22,14,22
8,16,8
8,14,22
22,16,22
16,22,8
16,8,22
14,8,8
14,22,8
14,8,22
14,22,22
16,22,22
8,8,15
8,22,15
22,22,15
22,15,8
8,15,8
8,15,22
22,15,22
15,22,8
15,8,22
8,9,18
8,21,18
22,21,18
22,12,9
8,18,9
22,18,21
21,8,12
9,22,12
9,8,18
21,22,18
21,18,8
21,12,8
9,18,8
21,18,22
18,22,9
18,8,9
12,8,21
12,22,21
18,22,21
18,21,8
18,9,8
18,9,22
12,9,8
12,21,8
16,8,8
12,9,22
12,21,22
23,21,13
23,9,13
23,9,17
7,21,13
7,9,17
7,21,17
6,19,17
24,19,17
6,13,19
11,24,16
22,18,10
21,23,16
25,15,15
19,24,13
19,6,17
25,12,15
11,24,17
19,17,6
7,11,11
11,13,6
11,17,24
13,7,12
19,17,24
18,13,7
20,6,15
17,6,19
17,24,19
17,11,6
24,14,10
13,11,24
24,19,14
8,12,21
6,11,14
6,17,19
13,9,23
6,11,16
23,15,21
6,19,16
24,14,11
19,14,24
6,16,19
12,7,13
19,24,14
12,14,6
11,16,24
5,17,15
21,10,11
5,15,16
14,24,11
16,19,6
16,11,24
22,8,13
14,11,6
14,19,24
11,24,14
7,13,18
11,23,19
24,11,15
6,15,11
18,8,18
14,5,13
24,10,14
6,15,19
13,21,7
19,6,15
8,8,16
6,11,15
19,24,15
15,19,24
15,21,7
15,6,11
9,15,7
14,19,6
15,24,19
6,16,11
24,17,11
22,12,18
24,20,14
8,18,18
17,18,23
12,24,14
11,6,17
24,18,14
5,15,14
18,12,8
17,10,23
12,12,22
20,9,11
12,18,22
11,14,24
18,22,12
23,18,13
11,16,6
17,24,11
20,8,12
23,12,13
23,12,17
17,10,7
20,7,13
7,21,14
7,12,17
18,8,20
23,18,17
12,11,6
20,14,6
16,23,9
23,17,12
23,13,12
23,13,18
19,13,24
23,21,14
24,15,19
7,17,12
13,19,24
19,15,6
19,23,11
23,17,18
18,23,13
12,22,12
8,18,21
18,18,8
12,23,13
13,12,7
17,25,13
15,11,24
10,14,6
23,9,16
12,7,17
12,23,17
5,14,14
18,23,17
16,6,19
11,15,24
23,13,21
12,13,7
16,6,18
13,25,17
9,12,8
17,23,18
16,24,19
10,14,24
24,13,11
17,12,23
13,12,23
22,8,15
14,9,7
10,11,21
18,8,21
6,12,14
6,12,16
6,18,14
16,5,17
7,18,17
24,16,12
14,16,5
11,24,13
15,18,5
24,16,18
7,21,16
18,6,14
13,5,16
12,12,8
18,6,16
12,6,14
8,18,12
10,24,16
19,21,10
12,24,16
13,16,25
12,17,7
16,7,9
13,6,19
22,22,16
24,15,20
20,21,11
24,10,15
8,8,14
7,10,17
18,13,23
25,16,15
24,14,19
12,17,23
18,19,24
23,10,13
5,14,15
14,25,17
16,13,25
12,22,9
17,7,18
25,15,13
13,14,25
9,18,22
15,24,10
20,14,24
8,12,12
5,15,17
6,13,11
16,5,15
13,5,15
25,17,14
13,15,5
15,25,13
21,15,7
24,11,14
19,24,16
13,23,9
17,23,12
25,14,14
5,17,13
14,14,25
8,17,8
15,14,5
12,22,18
17,7,20
14,7,9
7,18,13
15,22,22
13,25,15
18,24,14
11,6,15
11,9,10
5,17,16
6,19,15
11,7,19
5,16,14
15,16,5
16,17,5
15,25,18
13,18,7
24,18,16
8,20,12
11,18,6
12,16,24
21,22,12
7,19,11
5,15,13
13,17,25
21,8,18
10,8,18
16,13,5
18,22,10
14,15,5
24,19,13
17,25,15
22,8,17
5,15,18
15,25,14
10,24,15
20,11,21
16,25,13
11,13,24
17,17,5
23,21,16
25,14,16
5,13,15
16,25,17
18,21,22
13,24,19
15,5,14
15,25,16
25,13,14
16,16,25
20,8,18
18,7,17
9,11,20
22,17,22
6,14,11
17,21,7
15,25,15
14,24,18
15,15,25
17,12,7
14,5,15
22,9,12
16,11,6
24,11,17
6,20,16
10,7,17
22,20,18
17,15,5
19,19,23
18,16,24
19,6,18
16,24,20
15,12,25
6,16,10
18,14,24
16,25,15
15,16,25
22,21,12
12,15,5
25,13,15
18,8,12
13,23,18
14,24,12
13,23,12
24,17,19
21,7,16
17,11,24
15,13,5
8,14,8
23,20,17
12,16,6
18,17,7
11,10,9
17,7,12
14,5,17
7,17,9
21,12,22
17,25,16
15,5,17
25,16,17
18,17,23
14,25,13
15,24,11
14,16,25
25,15,16
22,18,18
15,5,16
25,15,14
13,10,7
7,15,21
13,6,11
21,23,13
12,13,23
10,15,6
10,10,20
13,5,17
23,21,17
20,20,20
18,18,22
20,10,20
5,15,15
14,13,5
16,25,16
10,20,10
23,13,10
19,16,6
9,8,12
13,5,14
24,16,11
13,13,25
16,5,16
17,13,25
6,19,13
6,14,10
15,25,12
18,24,19
25,16,14
23,16,9
16,14,5
15,11,6
15,20,24
9,12,22
16,18,24
13,15,25
20,18,8
17,15,25
24,15,11
11,6,14
14,6,11
15,5,13
6,14,20
22,18,12
20,24,14
16,15,25
21,17,23
5,16,15
24,16,20
14,25,14
11,19,7
16,20,24
14,15,25
5,18,15
25,17,15
17,14,5
5,15,12
10,17,7
25,15,12
23,14,21
17,16,5
12,11,24
19,20,9
17,5,16
20,12,22
14,18,24
8,18,10
17,19,24
19,16,24
24,19,16
7,9,13
14,6,10
12,18,8
16,5,13
10,17,23
21,15,23
21,20,11
13,24,11
13,25,14
21,20,19
8,12,9
17,5,14
19,7,19
25,16,16
15,17,25
22,13,8
6,11,17
25,17,13
9,19,10
17,13,5
23,17,20
10,22,12
17,5,15
14,5,14
16,14,25
5,14,17
22,9,18
24,11,16
13,13,5
15,21,23
14,17,5
5,16,13
13,16,5
17,19,6
14,10,6
24,19,15
24,14,18
24,14,12
19,12,24
23,17,9
14,25,15
25,16,13
17,25,17
25,15,17
20,13,7
25,17,16
16,23,21
9,16,7
11,6,16
14,7,21
12,20,22
5,13,14
13,18,23
17,17,25
13,17,5
16,16,5
17,20,23
14,6,18
24,18,11
6,14,19
14,6,19
14,11,24
11,14,6
17,23,9
17,5,17
10,20,20
6,16,18
5,17,17
21,14,7
12,6,16
21,17,7
13,8,22
5,13,17
5,12,15
5,13,13
15,14,25
7,12,13
23,14,9
24,16,19
19,14,6
6,16,20
25,13,17
12,8,9
17,6,11
25,14,13
14,5,16
21,10,19
11,17,6
9,14,23
25,13,13
22,18,9
17,25,14
25,14,17
15,18,25
14,6,12
18,6,19
6,14,12
5,17,14
15,12,5
18,22,18
15,5,15
22,12,21
5,14,16
16,24,10
8,22,13
9,7,16
12,15,25
20,24,16
12,25,15
6,17,11
24,20,16
7,11,19
19,6,16
16,6,12
18,5,15
24,12,14
13,7,18
19,10,21
18,15,5
14,18,6
12,8,20
15,17,5
16,12,24
19,13,6
17,5,13
10,21,11
24,13,19
11,15,6
12,14,24
24,12,11
18,16,6
6,11,13
6,11,18
25,14,15
13,11,6
10,15,24
24,11,13
12,22,20
5,13,16
20,13,23
16,19,24
20,21,19
24,12,16
12,19,24
12,19,6
18,11,6
12,10,22
18,19,6
12,24,19
15,15,5
12,6,19
12,24,11
12,6,11
24,14,20
18,6,11
18,25,15
18,24,11
21,19,10
19,18,24
15,5,18
11,18,24
7,13,9
11,12,24
11,12,6
19,12,6
20,15,6
13,19,6
19,18,6
14,24,10
19,24,18
16,24,18
11,24,18
19,10,9
15,20,6
15,6,10
11,6,18
12,8,12
11,21,10
18,24,16
11,24,12
11,21,20
13,14,5
11,6,12
19,6,12
10,16,6
19,24,12
19,7,11
16,6,20
24,18,19
6,18,19
7,17,18
12,8,10
6,12,19
8,21,12
6,18,11
6,12,11
16,17,25
6,19,12
24,12,19
24,19,18
24,19,12
13,10,23
13,20,7
8,12,18
6,19,18
6,11,12
24,11,18
8,16,22
11,19,23
11,11,23
19,11,7
18,10,22
19,19,7
19,23,19
11,23,11
11,7,11
23,19,19
13,25,13
7,14,21
7,19,19
23,11,19
22,22,14
23,11,11
23,19,11
16,24,11
12,5,15
15,10,24
21,7,17
17,8,22
15,10,6
22,12,12
16,15,5
15,24,20
25,13,16
15,6,20
6,16,12
20,15,24
16,12,6
20,24,15
10,6,15
18,14,6
19,6,14
16,9,7
6,15,20
7,10,13
6,15,10
9,22,18
14,25,16
9,19,20
7,14,9
7,9,14
16,5,14
7,17,21
24,15,10
13,5,13
7,20,13
24,20,15
16,10,6
21,23,14
6,10,15
14,24,20
14,10,24
19,9,10
9,14,7
13,7,10
15,25,17
16,10,24
16,20,6
16,21,23
14,6,20
22,10,12
16,25,14
16,6,10
20,16,24
11,20,9
10,16,24
21,23,17
20,16,6
17,16,25
10,24,14
10,6,14
6,20,14
6,10,14
24,10,16
13,20,23
16,9,23
11,6,13
14,20,6
17,20,7
21,23,15
9,7,15
17,23,20
13,23,20
13,7,20
8,8,13
13,23,10
13,25,16
17,7,10
17,23,10
18,15,25
10,13,23
25,17,17
10,13,7
20,17,7
10,23,13
8,9,12
10,7,13
22,12,20
22,13,22
20,7,17
20,23,13
17,18,7
7,9,16
11,20,21
7,17,20
7,13,20
7,17,10
7,13,10
10,18,8
11,11,7
23,13,20
5,14,13
14,9,23
7,16,9
15,6,19
23,17,10
19,6,13
7,20,17
13,22,22
16,18,6
23,10,17
23,20,13
18,20,22
25,18,15
12,20,8
15,8,8
12,10,8
18,10,8
18,7,13
18,20,8
16,6,11
18,22,20
12,22,10
20,18,22
20,12,8
10,18,22
11,24,15
10,12,22
5,16,17
20,22,18
7,13,12
21,13,7
10,22,18
14,21,7
10,8,12
20,22,12
15,13,25
16,24,12
22,18,20
23,16,21
8,18,20
8,12,20
8,12,10
22,12,10
8,20,18
14,17,25
8,10,18
24,16,10
8,10,12
24,11,12
22,10,18
14,24,19
22,20,12
19,20,21
19,21,20
11,9,20
15,5,12
19,9,20
10,19,21
21,7,13
10,19,9
10,11,9
21,11,20
20,11,9
6,18,16
14,20,24
10,23,17
10,6,16
20,19,9
10,21,19
21,16,23
10,9,19
10,9,11
20,9,19
14,12,6
21,19,20
9,11,10
21,11,10
21,13,23
22,22,13
14,14,5
5,16,16
9,20,19
9,10,19
18,8,10
9,20,11
9,10,11
10,10,10
20,10,10
13,23,21
20,20,10
18,12,22
15,9,23
15,9,7
14,12,24
10,12,8
15,23,21
15,7,9
6,20,15
15,7,21
15,23,9
7,13,21
9,15,23
9,23,15
21,7,15
7,15,9
23,15,9
23,21,15
7,21,15
7,9,15
23,9,15
14,21,23
6,19,14
6,10,16
16,21,7
9,23,13
6,14,18
14,23,21
14,23,9
15,19,6
16,7,21
9,16,23
20,6,14
21,14,23
21,16,7
9,23,16
11,10,21
18,11,24
9,23,14
9,7,14
21,7,14
20,17,23
7,16,21
19,11,23
23,9,14
14,13,25
20,23,17
17,21,23
12,8,18
13,21,23
9,17,7
13,9,7
17,9,23
17,9,7
17,23,21
20,6,16
13,7,21
13,7,9
17,14,25
17,7,21
25,15,18
17,7,9
19,15,24
9,17,23
9,13,23
9,13,7
9,23,17
9,7,17
9,7,13
19,24,17
23,17,21
20,19,21
23,13,9
